,outputs
0,"{'ID': 1, 'name': 'Зазеркалье', 'address': 'ул. Кузнецкий Мост, 12, Москва', 'website': '', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/zazerkalye/115543950920/?ll=37.621121%2C55.761609&z=15', 'goods': None, 'rating': '', 'reviews': None, 'phone': [], 'social': []}"
1,"{'ID': 2, 'name': 'Universe Inside Fashion', 'address': 'Страстной бул., 12, стр. 1, Москва', 'website': 'uifashion.clients.site', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/universe_inside_fashion/180443564453/?ll=37.611859%2C55.767053&z=14', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (926) 852-32-83Показать телефон'], 'social': ['https://t.me/Anton_Mishin_UIF', 'https://vk.com/uifashionn', 'https://wa.me/79268523283', 'https://youtube.com/channel/UCkU3-XDtx9_sS0avRqPJhjA']}"
2,"{'ID': 3, 'name': 'Архиватор', 'address': 'Столешников пер., 7, стр. 3, Москва', 'website': 'archivator.store', 'opening_hours': {'mon': '13:00-21:00', 'tue': '13:00-21:00', 'wed': '13:00-21:00', 'thu': '13:00-21:00', 'fri': '13:00-21:00', 'sat': '13:00-21:00', 'sun': '13:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/arkhivator/225713176869/?ll=37.613822%2C55.763758&z=15', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (966) 058-42-10Показать телефон'], 'social': ['https://vk.com/archivator2016']}"
3,"{'ID': 4, 'name': 'Галерея детской одежды', 'address': 'ул. Сущёвский Вал, 16, стр. 3, Москва', 'website': 'silverspoon.online', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/galereya_detskoy_odezhdy/1074694788/?ll=37.602759%2C55.792083&z=13', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 785-81-32Показать телефон'], 'social': ['https://t.me/sv_spoon', 'https://vk.com/silverspoon']}"
4,"{'ID': 5, 'name': 'Maytoni', 'address': 'Мосфильмовская ул., 53, Москва', 'website': 'maytoni.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-18:00', 'sun': '10:00-18:00'}, 'ypage': 'https://yandex.ru/maps/org/maytoni/162400290569/?ll=37.497450%2C55.704864&z=16', 'goods': None, 'rating': '4,9', 'reviews': None, 'phone': ['+7 (495) 777-79-29Показать телефон'], 'social': ['http://vk.com/maytonirussia', 'http://youtube.com/channel/UCyOoGNftEY4F55aVSfA1Ntw', 'https://t.me/maytoni_russia']}"
5,"{'ID': 6, 'name': 'Магазин и мастерская GoproMarket', 'address': 'Шипиловская ул., 58, корп. 1, Москва', 'website': 'dji-club.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '11:00-17:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/magazin_i_masterskaya_gopromarket/1182232784/?ll=37.745539%2C55.621234&z=13', 'goods': None, 'rating': '4,9', 'reviews': None, 'phone': ['+7 (926) 553-39-40Показать телефон'], 'social': ['https://vk.com/djiphantom']}"
6,"{'ID': 7, 'name': 'Polar Bird', 'address': 'Смольная ул., 63Б, корп. 1, Москва', 'website': 'www.polar-bird-boats.ru', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/polar_bird/169713089276/?ll=37.469367%2C55.869137&z=14', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['+7 (499) 110-40-84Показать телефон'], 'social': []}"
7,"{'ID': 8, 'name': 'Nakid Naked', 'address': 'Ходынский бул., 4, Москва', 'website': '', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/nakid_naked/183320962262/?ll=37.531289%2C55.790231&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (911) 955-79-91Показать телефон'], 'social': ['https://t.me/nakidnaked', 'https://vk.com/nakid.naked', 'https://wa.me/79119557991']}"
8,"{'ID': 9, 'name': 'Доктор Деко', 'address': 'Котляковская ул., 9, стр. 3, Москва', 'website': '', 'opening_hours': {'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': '10:00-16:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/doktor_deko/1399117201/?ll=37.642509%2C55.646391&z=16', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 617-00-95Показать телефон'], 'social': []}"
9,"{'ID': 10, 'name': 'Тандырхаус.ру', 'address': 'МКАД, 41-й километр, 4, стр. 32, Москва', 'website': 'tandyrhouse.ru', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': '10:00-18:00', 'sun': '11:00-16:00'}, 'ypage': 'https://yandex.ru/maps/org/tandyrkhaus_ru/61428278507/?ll=37.482385%2C55.615545&z=14', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['+7 (495) 744-75-99Показать телефон'], 'social': ['http://vk.com/tandyrhouseru', 'https://www.youtube.com/c/Tandyrhouse/']}"
